date;source;target
26/12/2007;BBBA;NISP
02/11/2007;BNIN;CITI
03/10/2007;ROYB;SCBL
11/12/2007;BUMI;MEDH
06/12/2007;BRIN;PDIJ
08/11/2007;PDNT;CENA
19/12/2007;NISP;INPB
05/12/2007;NUPA;EKON
19/11/2007;PINB;NISP
20/11/2007;MEGA;BBBA
27/11/2007;PDKT;BBBA
19/12/2007;BBUK;PDSB
29/11/2007;AEIB;BOTK
03/10/2007;SUNI;BOTK
26/10/2007;BKKB;CICT
16/11/2007;BBIJ;BMRI
19/11/2007;HSBC;MEDH
05/11/2007;TAPE;BBIJ
19/10/2007;CENA;ABAL
29/10/2007;BSDR;BNIA
08/10/2007;PDKS;PDKG
22/11/2007;SCBL;BBBA
14/11/2007;BRIN;PDWU
09/10/2007;BEXI;DBSB
06/11/2007;BSSP;CENA
12/11/2007;IBBK;BMRI
28/12/2007;BNIN;CITI
06/11/2007;SCBL;BBBA
29/10/2007;MGAB;CENA
29/10/2007;HSBC;BBIJ
27/11/2007;DBSB;BDIN
05/10/2007;BRIN;BBUK
05/10/2007;HSBC;BRIN
27/11/2007;IBBK;CITI
14/11/2007;BMRI;PMAS
30/11/2007;PDKS;BDIN
17/12/2007;BNPA;BDIN
05/11/2007;CENA;BBAI
18/12/2007;BUMI;CNBA
14/12/2007;BUMI;PDSB
08/11/2007;TAPE;PDJG
23/10/2007;LIPB;PINB
26/12/2007;CENA;JSAB
20/11/2007;PDWG;SYWS
25/10/2007;BBIJ;BCIA
16/11/2007;LIPB;BRIN
09/10/2007;MEGA;DEUT
26/10/2007;SUNI;BPIA
22/10/2007;HSBC;MEGA
03/10/2007;FUJI;MEGA
10/10/2007;BMRI;PDKS
28/11/2007;LIPB;BBUK
28/12/2007;BRIN;ARTG
03/12/2007;BBAI;HNBN
26/11/2007;BTAN;ARTG
15/11/2007;HAGA;ROYB
17/12/2007;BTAN;MUAB
31/10/2007;BNIA;BHAG
06/11/2007;EKON;BBUK
03/10/2007;BNIN;PDNT
18/10/2007;BDIN;PDSB
26/11/2007;RABO;BBBA
12/12/2007;BBIJ;BMRI
15/11/2007;CENA;CITI
10/12/2007;CHAS;CENA
11/12/2007;PDJG;BBBA
10/12/2007;PDBK;MUAB
20/11/2007;BDIN;BNIN
09/10/2007;ABNA;BBIJ
18/10/2007;MEEK;LIPB
31/10/2007;CICT;BUMI
14/12/2007;BBBA;NUPA
07/12/2007;PDAC;CITI
05/10/2007;BSDR;BDIN
03/12/2007;FAMA;BDIN
27/12/2007;IBBK;LIPB
06/11/2007;BMRI;KOEX
22/10/2007;SCBL;LIPB
05/12/2007;BRIN;SCBL
06/11/2007;AWAN;LIPB
11/10/2007;BRIN;CENA
08/10/2007;MCOR;IBBK
23/11/2007;CHAS;FUJI
27/11/2007;BDIN;JSAB
27/12/2007;BBIJ;BMRI
31/10/2007;HAGA;PINB
13/12/2007;MAYO;LIPB
22/11/2007;MEGA;SYBK
25/10/2007;KOEX;BMRI
12/11/2007;BDIP;CENA
06/12/2007;ARNK;BBUK
26/10/2007;PDKB;BMRI
26/11/2007;BRIN;MEGA
05/10/2007;PDJB;HAGA
10/10/2007;BMRI;ABNA
04/10/2007;BNIN;ABAL
03/10/2007;PDSU;BNIN
07/11/2007;BRIN;PDSU
07/11/2007;DBSB;CITI
24/10/2007;BSSP;PDLP
04/12/2007;BNIN;FUJI
28/12/2007;HVBK;BNIA
07/12/2007;PDJM;BTAN
29/11/2007;MEGA;MAYA
29/11/2007;PDKS;BNIN
26/10/2007;CITI;IDMO
23/11/2007;LIPB;BBBA
19/12/2007;LIPB;SCBL
05/10/2007;HSBC;SUNI
28/11/2007;SCBL;MEDH
11/12/2007;PDSU;BMRI
17/10/2007;HSBC;BNPA
12/12/2007;BDIN;CICT
27/12/2007;HAGA;ANZB
10/10/2007;BRIN;BBBA
19/11/2007;BBIJ;HSBC
06/12/2007;CNBA;BDIN
13/12/2007;CITI;BBBA
18/12/2007;CENA;FAMA
15/11/2007;BSSP;PDJG
09/11/2007;CNBA;MASD
12/12/2007;BBIJ;HRDA
02/11/2007;ABNA;HSBC
12/12/2007;BBIJ;BRIN
24/12/2007;BNIN;BBIJ
16/11/2007;BBUK;BBBA
05/11/2007;MEGA;MASB
09/11/2007;BBUK;PDSB
11/10/2007;PDNT;BRIN
25/10/2007;KOEX;LIPB
05/12/2007;BSMD;BNIA
19/12/2007;BBIJ;CICT
21/12/2007;PDBK;PDJM
05/12/2007;BMRI;FUJI
29/11/2007;BRIN;BBUK
11/12/2007;CITI;KOEX
15/11/2007;BRIN;BUMI
23/11/2007;NUPA;ATJS
16/11/2007;PDJB;LIPB
23/10/2007;BUMI;BRIN
23/11/2007;TAPE;IBBK
21/11/2007;PDAC;CENA
21/11/2007;BBBA;MEGA
30/10/2007;IBBK;HSBC
06/12/2007;BNIA;BBUK
21/12/2007;BMRI;MEEK
23/11/2007;PDKT;BMRI
13/12/2007;BNIN;PDKT
25/10/2007;PDRI;BRIN
05/11/2007;CICT;PINB
13/11/2007;BOTK;SUNI
28/11/2007;BNIN;AWAN
04/10/2007;PDWG;IBBK
26/11/2007;CNBA;EKON
09/11/2007;BBUK;TAPE
05/11/2007;BDIP;BDIN
27/12/2007;PDRI;NISP
15/11/2007;BDIN;BIDX
23/10/2007;BBBA;ANZB
05/12/2007;ATJS;BSMD
29/10/2007;BNIN;IBBK
19/10/2007;CITI;BNPA
02/10/2007;SITB;NUPA
04/10/2007;BUTG;BBUK
08/11/2007;MUAB;BBUK
01/11/2007;BNIA;BRIN
04/10/2007;BDIN;GNES
19/12/2007;PDYK;BNIA
08/10/2007;CITI;INPB
04/12/2007;BBUK;BMRI
20/11/2007;BRIN;PDBK
28/11/2007;PINB;BMRI
09/10/2007;BBBA;PDJB
09/10/2007;LIPB;BNPA
10/12/2007;PDJT;CENA
21/12/2007;PDRI;MEGA
02/10/2007;BNIA;HSBC
30/10/2007;MASD;EKON
21/11/2007;BICN;ANZB
26/10/2007;HSBC;NISP
04/12/2007;BDIN;SCBL
05/10/2007;PDJB;BNIA
11/12/2007;HSBC;BNIN
21/11/2007;BKCH;CENA
18/10/2007;BBBA;BUMI
16/11/2007;NISP;BUMI
30/10/2007;BSDR;BDIN
23/10/2007;FAMA;BBBA
27/12/2007;BOFA;BBBA
05/10/2007;CTCB;SCBL
26/10/2007;DBSB;HSBC
22/11/2007;PDSU;PDJT
09/10/2007;BDIN;CENA
13/12/2007;MEGA;BMRI
17/12/2007;LIPB;RABO
26/12/2007;ROYB;BBIJ
16/11/2007;LIPB;MEDH
12/12/2007;PDJM;BNIN
02/11/2007;SCBL;HSBC
18/12/2007;BNIA;AWAN
01/11/2007;BMRI;CITI
03/12/2007;VICT;BDIN
28/12/2007;BNIN;BOTK
11/10/2007;BDIN;ANZB
09/10/2007;PDJB;BUMI
26/10/2007;HSBC;BDIN
06/11/2007;BSSP;PDIJ
03/12/2007;BBAI;NISP
19/10/2007;BTAN;ATJS
15/11/2007;BBIJ;PDSB
23/10/2007;DBSB;BDIN
21/12/2007;PDSU;BDIN
30/11/2007;NISP;MEGA
24/10/2007;DEUT;BBBA
15/11/2007;AEIB;SCBL
03/12/2007;PDWU;PINB
26/12/2007;BKKB;LIPB
13/12/2007;BRIN;PDJB
27/12/2007;HAGA;IDMO
09/10/2007;BSMD;BNIN
29/11/2007;LIPB;SCBL
18/12/2007;AGSS;BNIA
26/10/2007;BTAN;BNIN
07/11/2007;ARTG;SITB
10/10/2007;PDJM;CENA
10/12/2007;BMRI;BHAG
03/12/2007;CITI;BOFA
26/12/2007;BNIA;ATJS
03/12/2007;ATJS;BHAG
16/11/2007;CHAS;HSBC
21/12/2007;NISP;MGAB
26/11/2007;MASD;PINB
26/12/2007;PINB;BOTK
26/10/2007;BMRI;PDSB
29/10/2007;TAPE;BHAG
01/10/2007;IBBK;BUTG
25/10/2007;HAGA;ATJS
26/11/2007;BBUK;BBBA
23/10/2007;PDAC;ARTG
13/11/2007;BRIN;SCBL
12/11/2007;BICN;CITI
24/10/2007;BDKI;PINB
26/11/2007;BMRI;CICT
28/11/2007;PDSU;BDIN
19/11/2007;PINB;PDSU
04/12/2007;CENA;HAGA
11/10/2007;CTCB;BNIN
13/11/2007;BMRI;PDWG
25/10/2007;PDRI;BNIA
10/10/2007;PDML;BDIN
07/11/2007;BICN;BIDX
26/10/2007;LMAN;BMRI
10/12/2007;CITI;BMRI
23/11/2007;BTAN;CENA
08/11/2007;BNIA;CITI
19/11/2007;BNIN;HAGA
27/11/2007;BNIA;HSBC
27/12/2007;MEGA;LIPB
29/11/2007;WIKE;CENA
29/10/2007;MAYA;BICN
03/10/2007;PDNB;ATJS
05/10/2007;TAPE;PDJT
02/10/2007;BUMI;PDKS
28/12/2007;IBBK;BSSP
12/11/2007;PINB;BBAI
19/12/2007;PDSB;BNIN
29/11/2007;BTAN;HAGA
24/12/2007;BTAN;PDBK
09/10/2007;SYBD;AWAN
28/12/2007;LIPB;SCBL
14/11/2007;MEEK;LIPB
07/11/2007;PDWG;BMRI
05/12/2007;CENA;AWAN
25/10/2007;ABNA;NISP
17/12/2007;BBAI;CITI
15/11/2007;VICT;NUPA
12/11/2007;BNIN;BBIJ
21/11/2007;ATJS;PDWU
26/12/2007;PDKB;ATJS
09/10/2007;BDIN;YUDB
03/10/2007;BPIA;BBBA
28/11/2007;BMRI;ANTD
17/12/2007;BBBA;BDIN
08/10/2007;SYBR;BMRI
29/11/2007;CENA;SCBL
16/11/2007;BKKB;RABO
23/10/2007;BBIJ;EKON
04/12/2007;ROYB;CENA
01/11/2007;PDRI;BBBA
28/11/2007;BBUK;BMRI
14/12/2007;BNPA;AGTB
13/11/2007;SCBL;PINB
28/12/2007;PDKS;PDNT
21/12/2007;MUAB;PINB
07/11/2007;EKON;PINB
26/12/2007;PDSB;BMRI
14/12/2007;SITB;CENA
31/10/2007;SCBL;DEUT
23/11/2007;BBUK;BSDR
13/12/2007;OCBC;NISP
18/12/2007;PINB;PDRI
23/11/2007;BBIJ;BICN
13/12/2007;PDAC;PDSB
17/12/2007;ATOS;CENA
16/11/2007;HAGA;NISP
22/10/2007;EKON;SUNI
15/11/2007;PDKS;MUAB
26/12/2007;EKON;BBUK
24/10/2007;BRIN;PMAS
26/11/2007;DBSB;BBUK
04/12/2007;BNIN;SYBD
07/12/2007;BBIJ;BDIN
25/10/2007;HRDA;INDI
28/11/2007;ATJS;BNIA
21/12/2007;DBSB;EKON
06/11/2007;BPIA;PINB
02/11/2007;PINB;VICT
13/11/2007;BSDR;YUDB
07/12/2007;MEGA;CENA
25/10/2007;BRIN;BNIN
07/12/2007;JSAB;MEGA
04/12/2007;BDKI;MASB
02/11/2007;BDIN;MASD
28/12/2007;IBBK;LIPB
03/12/2007;FUJI;PINB
13/11/2007;ARTG;CITI
10/10/2007;VICT;BMRI
19/10/2007;HSBC;BNIA
12/11/2007;PDJB;BDIN
13/11/2007;ARTG;HSBC
02/11/2007;HSBC;BBIJ
06/11/2007;BBBA;KOEX
29/10/2007;HSBC;IBBK
14/12/2007;SYBT;BTAN
08/11/2007;ATJS;PDKS
05/11/2007;ATOS;JSAB
03/10/2007;BUTG;BMRI
19/11/2007;CICT;BNIA
21/12/2007;BRIN;NUPA
25/10/2007;CTCB;SCBL
04/12/2007;BRIN;PDWG
15/11/2007;BHAG;BMRI
03/12/2007;SCBL;DEUT
27/11/2007;LIPB;PMAS
29/11/2007;BNPA;BTAN
10/10/2007;BNIN;BMRI
05/10/2007;KOEX;BMRI
12/11/2007;SYWS;ARTG
30/11/2007;BNIN;BBUK
11/10/2007;VICT;BNIA
25/10/2007;LOMA;NISP
02/10/2007;BRIN;NISP
08/11/2007;VICT;BNIN
24/12/2007;HSBC;ABNA
06/11/2007;ABAL;BDIN
23/10/2007;BDIN;BUMI
11/10/2007;DEUT;ANZB
13/11/2007;BNIA;BBBA
28/11/2007;ROYB;CENA
05/10/2007;BBIJ;EKON
25/10/2007;HAIN;PINB
25/10/2007;HSBC;SWBA
24/10/2007;BHAG;ARNK
06/12/2007;NISP;BMRI
24/12/2007;PDNB;BRIN
11/10/2007;CTCB;BRIN
27/12/2007;BRIN;PDNT
27/12/2007;BRIN;ABNA
14/11/2007;BNIN;MUAB
26/11/2007;IBBK;BBIJ
16/11/2007;EKON;RABO
29/10/2007;IBBK;BOFA
09/11/2007;BBIJ;HRDA
02/11/2007;BDIN;PDJM
24/10/2007;EKST;BMRI
24/10/2007;BDIN;BSMD
03/12/2007;SYBD;BSMD
30/11/2007;NISP;BDIN
14/12/2007;ABAL;ANZB
29/10/2007;BBIJ;PDKG
05/11/2007;PDIJ;PDJT
24/10/2007;BMRI;PDRI
14/11/2007;PINB;CITI
13/11/2007;SCBL;MASD
15/11/2007;CENA;MAYO
14/11/2007;VICT;MASB
29/10/2007;BRIN;RABO
30/11/2007;RABO;BBBA
12/12/2007;LIPB;NUPA
15/11/2007;BICN;ATJS
24/10/2007;CENA;IDMO
29/10/2007;DJAR;CENA
02/10/2007;LIPB;BKKB
17/10/2007;BNIN;PDKS
13/11/2007;ABNA;CITI
16/11/2007;BBUK;BNIN
29/10/2007;ABNA;RABO
28/12/2007;FUJI;ARTG
01/11/2007;CITI;LIPB
03/12/2007;LIPB;ATJS
13/12/2007;BICN;HSBC
12/11/2007;BICN;HAIN
27/12/2007;BBBA;NISP
09/10/2007;LOMA;CTCB
19/10/2007;MAYA;BDIN
22/10/2007;CENA;NUPA
24/10/2007;BIDX;SCBL
17/10/2007;SCBL;BDIN
05/10/2007;BDIN;BBUK
14/11/2007;ABAL;BBIJ
01/10/2007;CITI;BBUK
21/12/2007;IBBK;BBUK
08/11/2007;ATJS;ABAL
24/12/2007;CENA;PDIJ
05/12/2007;BMRI;SYBR
03/12/2007;BDIN;SITB
24/10/2007;BBAI;IBBK
25/10/2007;BBIJ;HVBK
28/12/2007;SYHS;ANZB
13/11/2007;BRIN;PDNB
07/12/2007;LIPB;BMRI
05/10/2007;AWAN;BDIN
06/11/2007;HSBC;BNIA
17/10/2007;BRIN;DEUT
22/11/2007;BNIA;BDIN
14/11/2007;CITI;DEUT
28/12/2007;BDIN;ARTG
01/10/2007;HSBC;IBBK
19/10/2007;BSSP;BNIN
23/10/2007;LIPB;BOFA
29/11/2007;DBSB;RABO
26/12/2007;PDYK;PINB
12/12/2007;HAGA;MGAB
11/12/2007;LIPB;CHAS
10/10/2007;IBBK;EKST
27/12/2007;AWAN;BNIA
26/11/2007;BNIN;PDWU
03/10/2007;IBBK;MAYA
11/10/2007;PDKB;PINB
23/10/2007;BDIN;NISP
22/11/2007;BBBA;BUMI
05/11/2007;CNBA;BDIN
21/11/2007;JSAB;CENA
12/12/2007;DBSB;ABNA
03/12/2007;BNIN;BIDX
05/10/2007;BUMI;ABAL
02/11/2007;LIPB;BRIN
06/11/2007;HAGA;BHAG
01/10/2007;BNIN;TAPE
16/11/2007;CENA;SCBL
21/11/2007;KSEB;PMAS
09/10/2007;PDJT;MAYA
10/10/2007;BSSP;BRIN
22/11/2007;BSSP;PDYK
13/11/2007;PDJB;SCBL
19/11/2007;CENA;PDJG
06/11/2007;CENA;CNBA
30/10/2007;PINB;SITB
05/10/2007;BSMD;SYNA
23/11/2007;BMRI;SCBL
04/10/2007;LIPB;AWAN
07/11/2007;MASD;BNIA
27/11/2007;OCBC;BNIA
06/12/2007;DEUT;MEDH
18/10/2007;NISP;BOTK
10/12/2007;NISP;BICN
14/11/2007;IBBK;DEUT
13/12/2007;PDKS;BDIN
29/11/2007;ABNA;BBBA
24/10/2007;BNIN;IBBK
27/12/2007;PDKT;BBIJ
29/10/2007;CENA;LIPB
11/12/2007;BRIN;PDRI
13/12/2007;ARNK;LIPB
05/10/2007;ATJS;LIPB
04/12/2007;BBBA;SCBL
05/10/2007;BDIP;BBIJ
03/12/2007;MEGA;INPB
26/12/2007;PDSB;PINB
24/10/2007;BBIJ;GNES
21/11/2007;EKON;HMOB
23/11/2007;BNIN;BMRI
25/10/2007;NISP;LIPB
27/11/2007;ATJS;MAYA
19/10/2007;ARTG;IBBK
03/12/2007;DEUT;BBBA
02/11/2007;DEUT;BICN
24/10/2007;BMRI;HAIN
20/11/2007;AWAN;MEDH
02/11/2007;BNIN;PDWU
26/11/2007;BNIN;PINB
18/10/2007;PDJB;LIPB
06/11/2007;BNIN;PDWU
15/11/2007;BMRI;BBUK
24/12/2007;BTAN;PDRI
16/11/2007;CENA;MAYA
25/10/2007;ANZB;CICT
08/10/2007;MEGA;BBIJ
04/10/2007;NISP;ANZB
21/12/2007;EKON;MASB
13/11/2007;BMRI;IBBK
24/10/2007;SCBL;BMRI
08/11/2007;CENA;SCBL
11/12/2007;BSSP;PDAC
15/11/2007;PDJB;PINB
11/12/2007;DEUT;JSAB
17/12/2007;CHAS;NUPA
29/11/2007;BRIN;PDJB
19/12/2007;BSMD;BNIA
09/11/2007;BRIN;BMRI
21/11/2007;PDJG;BMRI
17/12/2007;PDIJ;BNIA
06/11/2007;BPIA;CENA
07/12/2007;PDML;BDIN
14/12/2007;CENA;EKON
24/10/2007;ABNA;BPIA
23/10/2007;MEGA;BNIN
28/11/2007;MEDH;AWAN
30/11/2007;TAPE;IBBK
28/12/2007;PDJT;BNIA
15/11/2007;MEDH;PDAC
19/10/2007;PDYK;LIPB
16/11/2007;PDJB;BBUK
28/11/2007;SUNI;HAIN
02/10/2007;BBBA;MCOR
26/12/2007;DEUT;DBSB
26/11/2007;HSBC;ABAL
01/11/2007;LIPB;MEGA
14/11/2007;PDJT;PDJG
10/10/2007;SCBL;EKON
04/10/2007;ABNA;PINB
11/12/2007;PDSU;EKON
04/10/2007;CENA;PDIJ
24/12/2007;BDIN;MEGA
28/11/2007;DEUT;ANZB
25/10/2007;BBBA;BMRI
05/10/2007;HVBK;CENA
27/11/2007;BUMI;CENA
27/12/2007;RABO;BICN
10/10/2007;PDKT;CENA
13/12/2007;EKON;BOTK
04/10/2007;ABNA;DBSB
08/11/2007;ARTG;IBBK
23/10/2007;HVBK;CENA
11/12/2007;MCOR;CENA
07/12/2007;HVBK;CENA
02/10/2007;BDIN;PDKT
26/11/2007;BMRI;CTCB
31/10/2007;BPIA;CICT
10/10/2007;BRIN;BNIA
26/11/2007;BBBA;PDJT
11/10/2007;BNIN;CHAS
07/11/2007;NISP;ANTD
06/12/2007;SUNI;BICN
06/11/2007;BRIN;BOTK
30/10/2007;SYJB;IBBK
09/10/2007;DBSB;BNIA
21/11/2007;HSBC;CENA
21/12/2007;PDJB;ATJS
18/10/2007;BUST;BNIN
08/11/2007;BRIN;HRDA
25/10/2007;ATOS;BNIN
12/12/2007;BDKI;ATJS
14/11/2007;CITI;LIPB
29/11/2007;BNIA;BHAG
25/10/2007;HAGA;BIDX
24/10/2007;NISP;BMRI
04/10/2007;CENA;PINB
08/11/2007;BNIN;DEUT
26/12/2007;PINB;HSBC
14/12/2007;BDIN;LIPB
10/10/2007;MEGA;DBSB
22/10/2007;CITI;BOFA
06/11/2007;CITI;LIPB
14/11/2007;MEDH;SCBL
23/10/2007;CENA;BNIA
26/10/2007;IDMO;IBBK
30/11/2007;BBIJ;BNIN
05/10/2007;CNBA;CENA
04/12/2007;PDKB;BBIJ
03/10/2007;PDAC;BNIN
26/12/2007;CITI;DEUT
19/12/2007;SCBL;NISP
03/12/2007;IBBK;BDIN
14/11/2007;PDJG;CENA
19/12/2007;SCBL;PDSU
17/12/2007;BUMI;BNIA
16/11/2007;PDJT;BNIA
14/11/2007;CENA;CENA
11/12/2007;IBBK;DEUT
12/12/2007;BMRI;PDKT
01/10/2007;IBBK;DEUT
31/10/2007;SCBL;BMRI
17/12/2007;BBBA;DBSB
26/12/2007;SUNI;DEUT
10/10/2007;CTCB;BBBA
17/12/2007;BOTK;NUPA
17/12/2007;BDIN;OCBC
21/12/2007;BBIJ;BIDX
03/12/2007;BNIN;BBUK
18/12/2007;FUJI;BMRI
22/10/2007;NISP;BBUK
19/12/2007;BSSP;BNIN
16/11/2007;PDKB;BSSP
04/10/2007;PDJT;BBUK
14/12/2007;HSBC;SCBL
29/11/2007;BDIN;PDML
05/12/2007;BMRI;ARTG
12/12/2007;MEDH;BBIJ
04/12/2007;CITI;BMRI
20/11/2007;AEIB;SCBL
11/10/2007;PDRI;MUAB
14/12/2007;BNIA;BICN
23/11/2007;PDBK;PDJG
07/11/2007;MEGA;TAPE
02/11/2007;MEDH;CENA
19/11/2007;BDIN;PDJT
25/10/2007;IBBK;PDML
19/11/2007;ATJS;SWBA
21/12/2007;BSMD;MEDH
21/11/2007;PDAC;PDJB
10/12/2007;BNIN;BSSP
17/10/2007;MEDH;PINB
30/11/2007;CENA;AWAN
15/11/2007;LIPB;DBSB
04/12/2007;BNIN;BNIA
18/10/2007;RABO;CENA
05/10/2007;BSSP;BRIN
20/11/2007;BICN;BBBA
24/10/2007;MEGA;SCBL
26/11/2007;BDKI;PDYK
31/10/2007;CICT;PDJM
22/10/2007;SYDI;BMRI
21/12/2007;EKST;MASD
09/11/2007;MUAB;BBIJ
10/12/2007;MEGA;TAPE
23/11/2007;LIPB;ARNK
20/11/2007;SYAC;BDIN
17/10/2007;EKST;ATJS
19/11/2007;BDIN;BSMD
10/12/2007;BBIJ;BRIN
21/11/2007;ANTD;BDIN
14/12/2007;CICT;HRDA
22/10/2007;LIPB;PDKB
13/12/2007;HRDA;CENA
30/11/2007;EKST;PINB
04/12/2007;DEUT;BRIN
12/12/2007;SYBR;BMRI
09/11/2007;CENA;CICT
05/11/2007;MCOR;CITI
01/11/2007;HSBC;CHAS
02/11/2007;MEGA;BARC
04/12/2007;BSMD;PDKB
22/11/2007;HSBC;IBBK
23/10/2007;CITI;ANTD
11/12/2007;BRIN;HRDA
27/12/2007;PDJG;LIPB
04/12/2007;PDIJ;BRIN
24/12/2007;BRIN;PDJT
05/12/2007;BBUK;BNIN
05/11/2007;BBAI;BNIA
19/10/2007;IBBK;LIPB
02/11/2007;SCBL;DEUT
10/10/2007;BBBA;BNPA
11/12/2007;BRIN;CENA
05/12/2007;VICT;CENA
03/12/2007;BBUK;CENA
09/11/2007;BBBA;AGSS
20/11/2007;PDKS;IBBK
05/11/2007;CENA;DEUT
30/11/2007;EKON;CICT
04/10/2007;EKON;HMOB
23/10/2007;BRIN;PDNB
17/10/2007;ABNA;SCBL
09/11/2007;BMRI;BSMD
10/12/2007;BRIN;BBAI
24/12/2007;AEIB;HSBC
31/10/2007;DEUT;BKKB
12/12/2007;PDJG;SCBL
21/12/2007;CENA;AEIB
13/12/2007;BBIJ;BNIA
26/12/2007;DJAR;MGAB
02/10/2007;PDNT;PINB
13/12/2007;CENA;BPIA
26/10/2007;IBBK;BOTK
05/11/2007;BMRI;BSMD
25/10/2007;BBUK;SCBL
13/11/2007;CENA;SYBB
05/12/2007;BPIA;AEIB
19/12/2007;BNIN;SYBR
22/11/2007;LIPB;CTCB
13/12/2007;LIPB;BICN
31/10/2007;FUJI;HAGA
24/12/2007;PDSU;AWAN
15/11/2007;SCBL;BICN
01/11/2007;HAGA;BBIJ
10/12/2007;PDSU;PDAC
29/10/2007;PINB;HAGA
26/11/2007;PDKT;LIPB
15/11/2007;SYBD;CENA
17/12/2007;CENA;MEGA
02/11/2007;BSMD;DEUT
02/11/2007;MEDH;BRIN
06/11/2007;BBBA;HVBK
17/12/2007;BBIJ;NISP
04/10/2007;SUNI;HSBC
19/11/2007;BICN;ANZB
23/10/2007;SUNI;ARTG
10/10/2007;PDML;BSSP
24/10/2007;SYBR;NISP
26/10/2007;BBBA;SCBL
17/10/2007;BMRI;BHAG
27/11/2007;JSAB;NISP
26/11/2007;BDIN;NISP
08/11/2007;PDSB;BICN
05/11/2007;LIPB;BDKI
24/10/2007;SITB;BRIN
24/12/2007;WIKE;HSBC
02/10/2007;CENA;BICN
17/10/2007;ARTG;LIPB
26/10/2007;LIPB;HAIN
30/10/2007;BNIN;BDIN
13/12/2007;PDIJ;MUAB
06/12/2007;RABO;BRIN
10/10/2007;FAMA;BNIN
23/10/2007;BHAG;ARNK
25/10/2007;EKON;PINB
04/10/2007;DEUT;BBIJ
02/11/2007;BRIN;BNIN
29/11/2007;LIPB;IBBK
27/11/2007;LIPB;SYBB
