date;source;target
28/12/2007;HAGA;PINB
04/10/2007;OCBC;SCBL
09/11/2007;CENA;BBIJ
05/12/2007;BDIN;MASD
02/11/2007;CITI;BICN
22/10/2007;BMRI;BTAN
19/12/2007;MCOR;BMRI
05/12/2007;PDML;BNIN
09/10/2007;SYWS;PDWG
26/10/2007;BUMI;BDIN
30/11/2007;IBBK;ABNA
09/11/2007;BNIN;PDJB
07/12/2007;AWAN;MEGA
22/10/2007;HSBC;IBBK
26/10/2007;ABNA;DEUT
28/12/2007;IBBK;ARTG
22/10/2007;BPIA;PMAS
06/11/2007;ABNA;SUNI
20/11/2007;WIKE;BDIN
05/11/2007;WIKE;MEGA
07/11/2007;BDIN;PDJB
05/10/2007;MEDH;CENA
01/10/2007;BDIP;BUMI
11/12/2007;BRIN;CENA
23/10/2007;LIPB;CHAS
27/11/2007;PDRI;BBBA
05/12/2007;SIHB;BNIN
13/12/2007;MGAB;BDIP
29/11/2007;INPB;BDIN
07/12/2007;JSAB;BBIJ
26/10/2007;AEIB;BNIN
10/10/2007;ARNK;CICT
26/10/2007;BBIJ;CENA
16/11/2007;CENA;CENA
29/10/2007;SYBK;BBUK
10/10/2007;SCBL;BBAI
09/11/2007;IBBK;BNIA
18/10/2007;IBBK;GNES
07/11/2007;BNIA;AWAN
13/11/2007;WIKE;BMRI
31/10/2007;BBUK;CICT
04/10/2007;IBBK;BSSP
19/10/2007;AEIB;BMRI
03/12/2007;BARC;BHAG
01/11/2007;BHAG;HAGA
01/10/2007;BBBA;BSMD
12/12/2007;RABO;BNIN
15/11/2007;PINB;CHAS
22/10/2007;ABNA;TAPE
12/12/2007;CTCB;LIPB
18/12/2007;BNIN;BDIN
04/10/2007;CENA;SITB
24/12/2007;ABNA;BOTK
13/11/2007;NISP;BBBA
11/12/2007;BMRI;WIKE
12/11/2007;NISP;BSSP
05/10/2007;LMAN;BRIN
27/12/2007;BBUK;SITB
02/11/2007;MEEK;LIPB
21/11/2007;CENA;BUST
03/12/2007;DEUT;LIPB
03/12/2007;BDKI;PDIJ
24/10/2007;IBBK;DEUT
26/11/2007;PDJG;BMRI
24/10/2007;DBSB;RABO
08/11/2007;ATJS;TAPE
22/10/2007;BMRI;BSDR
29/11/2007;IBBK;MEEK
10/12/2007;BBIJ;BUMI
18/12/2007;MASD;GNES
01/10/2007;HAIN;BNIA
27/11/2007;BBIJ;BDIN
02/10/2007;BICN;MEDH
30/11/2007;BBBA;BOTK
05/11/2007;PDJM;BNIN
24/12/2007;BOFA;CITI
11/12/2007;PMAS;BBBA
02/10/2007;HSBC;FUJI
13/12/2007;BICN;BBUK
02/11/2007;BHAG;BBAI
24/10/2007;DBSB;CITI
14/12/2007;ABNA;CITI
13/11/2007;BOTK;BNIN
25/10/2007;BMRI;HSBC
29/11/2007;CICT;RABO
29/11/2007;BUMI;DEUT
06/12/2007;SCBL;BRIN
31/10/2007;SYWS;PDJB
05/11/2007;BUST;IDMO
12/11/2007;CENA;PINB
05/12/2007;BICN;BNIN
11/12/2007;FAMA;VICT
05/11/2007;BRIN;BUMI
01/10/2007;BOTK;BDIP
27/11/2007;NISP;BNPA
10/10/2007;BUST;ABNA
03/12/2007;MUAB;ATJS
09/11/2007;HAGA;PINB
02/11/2007;BMRI;SYBK
02/11/2007;BMRI;BSDR
08/10/2007;CENA;BUST
24/10/2007;EKON;BNIN
02/10/2007;EKON;BDIN
06/11/2007;BBIJ;SCBL
23/11/2007;HRDA;VICT
16/11/2007;SITB;BUMI
18/10/2007;CENA;BBIJ
26/11/2007;LIPB;SUNI
10/12/2007;YUDB;LIPB
22/10/2007;SYBD;BMRI
19/11/2007;EKON;BICN
21/11/2007;PINB;BUMI
02/11/2007;EKON;PDSB
01/11/2007;CENA;SCBL
03/12/2007;CENA;CHAS
13/12/2007;BDIP;MASD
07/11/2007;TAPE;BDKI
20/11/2007;PDLP;IBBK
12/11/2007;ARTG;BDIN
21/11/2007;HAGA;MAYO
02/10/2007;LIPB;WIKE
03/12/2007;ABNA;BEXI
09/11/2007;BDIN;BSDR
01/11/2007;BDIN;TAPE
31/10/2007;BPIA;FUJI
18/10/2007;OCBC;DBSB
21/12/2007;BBIJ;ANZB
19/10/2007;BNIA;PDAC
20/11/2007;LIPB;BOTK
19/10/2007;CITI;LIPB
03/12/2007;BBAI;BRIN
23/11/2007;LIPB;SCBL
19/12/2007;BRIN;CITI
26/12/2007;BBBA;NISP
21/12/2007;ABAL;MEGA
06/11/2007;BMRI;CICT
24/10/2007;LIPB;BBUK
24/12/2007;MEGA;PDSB
06/12/2007;CENA;MEGA
07/11/2007;BEXI;BNIA
19/11/2007;BBBA;BNPA
09/11/2007;BICN;ATJS
28/12/2007;BNIN;ARTG
05/10/2007;DBSB;PINB
29/10/2007;PDSU;BDKI
30/10/2007;BNIN;MEEK
10/12/2007;BRIN;SYWS
05/10/2007;MUAB;PDAC
27/12/2007;BMRI;ARTG
01/10/2007;BICN;BBIJ
17/12/2007;BPIA;SCBL
12/12/2007;CITI;BNIA
11/10/2007;SITB;DBSB
08/11/2007;IBBK;BPIA
11/12/2007;BSMD;SYRI
23/10/2007;SCBL;PDSB
26/10/2007;PDNB;ANTD
05/10/2007;IBBK;BTAN
29/10/2007;BSMD;CITI
20/11/2007;CENA;MASB
04/10/2007;BMRI;CTCB
28/11/2007;ARTG;MGAB
01/11/2007;CITI;BICN
07/12/2007;BBBA;SCBL
29/11/2007;TAPE;SYWS
31/10/2007;DEUT;SCBL
10/10/2007;HSBC;BNPA
25/10/2007;SUNI;BDIP
26/10/2007;NISP;BBBA
29/10/2007;PDBK;BNIA
23/11/2007;BRIN;PDKB
10/10/2007;PDSB;ATJS
29/11/2007;CNBA;LIPB
10/10/2007;BNPA;BNIA
14/11/2007;BDKI;PDJG
23/10/2007;PDBK;BNIN
01/10/2007;CENA;BARC
06/12/2007;BBBA;LIPB
29/11/2007;CENA;BDKI
08/11/2007;SCBL;IBBK
08/10/2007;IBBK;BTAN
27/11/2007;BNIN;PDWU
21/12/2007;BBIJ;BNPA
13/11/2007;BRIN;AGTB
29/10/2007;LIPB;CHAS
26/12/2007;BBBA;LIPB
19/12/2007;BMRI;KSEB
03/12/2007;MEDH;BPIA
27/11/2007;BBBA;SYJB
20/11/2007;MCOR;BCIA
05/10/2007;BMRI;MEGA
31/10/2007;NUPA;MUAB
17/10/2007;SCBL;PDSB
24/12/2007;HSBC;BBBA
09/11/2007;BBIJ;IBBK
23/11/2007;BHAG;SCBL
06/11/2007;BBBA;HVBK
17/12/2007;BMRI;PDRI
18/12/2007;NUPA;BBIJ
29/11/2007;JSAB;BDIN
30/11/2007;PINB;BDIN
29/10/2007;VICT;TAPE
03/10/2007;PDKT;BUMI
01/10/2007;CHAS;PDIJ
29/11/2007;BEXI;OCBC
09/10/2007;BRIN;BMRI
23/10/2007;BBBA;HSBC
09/11/2007;PDIJ;CITI
22/11/2007;BNPA;BNIA
29/11/2007;PDRI;BDIN
08/11/2007;BDIN;PDNT
24/10/2007;CTCB;BIDX
06/12/2007;BMRI;BSMD
29/10/2007;CENA;PDJM
13/11/2007;PDJG;LIPB
01/11/2007;AGTB;ATJS
26/10/2007;AGTB;BMRI
28/12/2007;BRIN;MAYA
31/10/2007;NISP;DEUT
24/10/2007;PDJG;MEGA
19/10/2007;BICN;AWAN
02/10/2007;PDAC;BEXI
24/10/2007;KSEB;BNIN
04/12/2007;PDKS;CENA
02/11/2007;CITI;NISP
28/11/2007;DEUT;ABNA
25/10/2007;FUJI;CICT
06/11/2007;DEUT;BNIN
05/11/2007;CENA;MAYA
11/10/2007;BSDR;IBBK
28/11/2007;CENA;MAYO
28/12/2007;BBBA;PDJT
15/11/2007;HSBC;DEUT
31/10/2007;ABAL;CTCB
28/11/2007;ABNA;IBBK
06/11/2007;MEEK;BNIN
13/12/2007;SYBD;BSMD
24/12/2007;HSBC;IDMO
25/10/2007;BNIN;BBAI
10/12/2007;BNIN;LIPB
18/10/2007;BUTG;SYNA
13/11/2007;BOTK;FUJI
23/11/2007;BRIN;PDKG
13/12/2007;BNIA;MEDH
03/10/2007;BICN;LOMA
26/10/2007;ANTD;EKON
26/12/2007;BNIN;BUMI
02/11/2007;LIPB;FUJI
11/12/2007;BBBA;CITI
18/12/2007;BOTK;GNES
10/10/2007;MEGA;ABNA
12/12/2007;MEDH;BDIN
11/12/2007;BDIN;BNIA
01/10/2007;BSSP;ATJS
30/10/2007;CENA;BNIA
03/12/2007;BDIN;BBIJ
14/11/2007;BBIJ;NISP
24/10/2007;SIHB;ABAL
08/10/2007;BNIA;ANZB
14/11/2007;BDIN;BSMD
30/10/2007;BBIJ;SCBL
17/10/2007;DJAR;MGAB
14/12/2007;LMAN;BDIP
22/10/2007;BMRI;MASD
19/11/2007;CHAS;IBBK
14/12/2007;TAPE;NUPA
08/10/2007;PDJT;DEUT
19/10/2007;IDMO;KSEB
17/12/2007;PDKS;BDIN
14/12/2007;PDJT;ANTD
12/11/2007;MEDH;BDIN
10/10/2007;PDJB;BRIN
28/12/2007;BMRI;CENA
06/11/2007;HAGA;CICT
20/11/2007;BNIN;PDJM
16/11/2007;ABNA;LIPB
13/12/2007;BDIN;BNIA
13/11/2007;BUTG;BBBA
01/10/2007;BDIN;ANZB
23/10/2007;ROYB;PINB
22/10/2007;JSAB;CICT
26/11/2007;ATJS;ABAL
29/10/2007;BDIN;PDKG
07/12/2007;SCBL;CENA
30/11/2007;BDIN;AWAN
26/11/2007;PDWU;IBBK
17/12/2007;PDNB;CENA
23/10/2007;BNIN;CENA
25/10/2007;IBBK;BBAI
27/11/2007;BMRI;DEUT
23/11/2007;BBBA;CENA
23/11/2007;BNIN;CICT
29/10/2007;EKON;BBBA
05/11/2007;BBAI;PINB
02/11/2007;ARNK;IBBK
10/10/2007;BBUK;SDOB
21/12/2007;BBBA;BEXI
10/10/2007;IBBK;BNIN
29/11/2007;BMRI;BRIN
04/12/2007;LIPB;BMRI
11/10/2007;BRIN;PDAC
16/11/2007;CHAS;BBBA
19/12/2007;IBBK;PMAS
06/12/2007;YUDB;MEGA
13/11/2007;BMRI;BICN
30/11/2007;CICT;SCBL
11/10/2007;CENA;MCOR
24/10/2007;MUAB;BTAN
02/11/2007;IBBK;BDIN
04/10/2007;CICT;NISP
16/11/2007;HAGA;EKON
28/11/2007;SUNI;PINB
03/12/2007;NUPA;WIKE
01/10/2007;HSBC;ATJS
05/10/2007;BBIJ;CENA
07/11/2007;BMRI;SUNI
12/11/2007;PDYK;BRIN
05/12/2007;BRIN;ARNK
31/10/2007;BBBA;GNES
06/12/2007;MASD;BDIN
11/10/2007;SYWS;BNIN
05/10/2007;IBBK;PDKT
19/12/2007;IDMO;EKON
05/11/2007;PDKT;BDIN
21/12/2007;AGTB;AWAN
04/12/2007;BDIN;DEUT
04/12/2007;BBUK;PDRI
17/10/2007;NISP;IDMO
09/11/2007;BNIN;BPIA
19/10/2007;CENA;MUAB
29/11/2007;ARNK;MEGA
11/10/2007;PINB;CICT
17/12/2007;HSBC;JSAB
08/10/2007;BBIJ;BRIN
04/12/2007;CENA;MEGA
09/10/2007;ARTG;ANZB
04/10/2007;NUPA;BKKB
01/10/2007;BUMI;HSBC
02/11/2007;CENA;PDML
05/10/2007;MEGA;CHAS
19/12/2007;BMRI;LIPB
21/11/2007;CENA;BUTG
12/12/2007;PDJB;BRIN
18/10/2007;BBIJ;DEUT
13/12/2007;PDKG;BRIN
10/10/2007;LIPB;DEUT
11/12/2007;NISP;ATJS
11/12/2007;PDWR;BNIN
09/10/2007;BNIA;BOTK
02/11/2007;ARTG;CENA
06/11/2007;HRDA;BIDX
12/12/2007;HAIN;CENA
28/11/2007;BDIN;CITI
27/12/2007;LIPB;OCBC
03/10/2007;BNIN;GNES
13/12/2007;KSEI;LIPB
17/12/2007;BMRI;CENA
11/12/2007;PINB;GNES
15/11/2007;PDWR;IBBK
21/12/2007;BBAI;BMRI
06/12/2007;VICT;SCBL
12/11/2007;BICN;BNIN
06/12/2007;BRIN;PDWU
21/12/2007;SCBL;NISP
05/10/2007;BNIN;ANTD
05/11/2007;CENA;BDIN
06/11/2007;BBAI;EKON
01/11/2007;PDAC;BNIN
26/11/2007;CENA;HAGA
18/12/2007;BDIN;AEIB
06/11/2007;HAIN;EKON
30/10/2007;INPB;ATJS
26/11/2007;LIPB;CITI
07/12/2007;BCIA;BMRI
16/11/2007;SCBL;BOFA
03/12/2007;EKON;ARTG
23/10/2007;BRIN;PDIJ
10/12/2007;BMRI;AEIB
12/12/2007;CICT;KOEX
07/11/2007;HRDA;NISP
18/12/2007;RABO;CENA
28/11/2007;BBAI;BUMI
05/11/2007;HSBC;BNPA
26/10/2007;IBBK;BRIN
27/12/2007;BNIA;HSBC
11/12/2007;PDKS;PINB
23/11/2007;BTAN;ARNK
31/10/2007;BNIN;ABAL
06/11/2007;ANTD;BDIN
07/11/2007;ABNA;BRIN
17/12/2007;LIPB;CENA
14/11/2007;MAYA;BNIA
13/12/2007;PDWG;BNIN
06/12/2007;ATJS;PDLP
19/12/2007;CENA;BDIN
27/11/2007;CICT;BNIN
12/11/2007;BMRI;HAGA
01/10/2007;ARTG;MEEK
05/11/2007;BICN;HMOB
12/11/2007;BMRI;BOFA
12/11/2007;BRIN;BMRI
12/12/2007;BDKI;HAGA
12/12/2007;CICT;PINB
04/10/2007;BBUK;ARTG
01/10/2007;AEIB;CENA
01/11/2007;BNIA;ARTG
14/12/2007;BEXI;PDJG
05/12/2007;BDKI;DBSB
06/11/2007;CENA;NISP
18/10/2007;BBIJ;IBBK
04/12/2007;LIPB;ARTG
04/12/2007;AGTB;MEDH
22/10/2007;BDKI;PMAS
08/11/2007;BBAI;BMRI
29/10/2007;INDI;MEGA
10/12/2007;ABAL;CTCB
04/10/2007;SWBA;ATJS
21/11/2007;PINB;SYKT
02/10/2007;NISP;MEGA
30/10/2007;CTCB;ABNA
14/12/2007;PDKS;ATJS
17/12/2007;SCBL;FUJI
09/10/2007;BDIP;EKON
04/12/2007;EKON;SWBA
14/11/2007;HAIN;BBUK
21/12/2007;CENA;PDKT
27/12/2007;LIPB;PDJG
29/10/2007;CTCB;GNES
06/11/2007;PDSB;BSMD
26/12/2007;CENA;MEGA
03/10/2007;DBSB;BNIA
30/10/2007;BPIA;BOTK
02/11/2007;BMRI;BDIP
04/10/2007;HRDA;BMRI
27/11/2007;ABNA;PDJM
14/11/2007;BRIN;ATJS
02/11/2007;MAYA;NISP
17/12/2007;BNIN;PDJT
30/11/2007;CITI;BMRI
15/11/2007;BNIN;MEGA
06/12/2007;CICT;NISP
05/12/2007;PDIJ;PINB
13/11/2007;BNIA;NISP
29/10/2007;ABAL;ATJS
29/11/2007;BSDR;BMRI
19/11/2007;IBBK;BBUK
20/11/2007;GNES;BBBA
20/11/2007;CHAS;MCOR
18/12/2007;BTAN;PDSU
02/10/2007;DEUT;BUMI
30/10/2007;HVBK;LIPB
05/12/2007;ARTG;BBBA
16/11/2007;MAYA;BMRI
12/11/2007;LIPB;BNIN
19/12/2007;CITI;BNIN
27/12/2007;AEIB;BDIN
03/12/2007;BICN;AEIB
20/11/2007;BNIA;MGAB
05/10/2007;LIPB;BSMD
14/11/2007;EKON;WIKE
11/12/2007;BNIN;PDJT
04/12/2007;PDWU;NISP
28/12/2007;PDJT;BBIJ
08/11/2007;BBIJ;MEGA
11/12/2007;CICT;BMRI
06/11/2007;RABO;LIPB
08/11/2007;BKKB;BMRI
03/12/2007;BUMI;MUAB
05/10/2007;BRIN;BTAN
07/12/2007;CENA;PDRI
02/10/2007;BMRI;BDIN
01/11/2007;MEEK;BBBA
14/11/2007;ATJS;INDI
15/11/2007;ATJS;PDJM
12/12/2007;BBAI;HSBC
05/11/2007;AWAN;BMRI
21/12/2007;SUNI;IBBK
11/10/2007;MEGA;BTAN
05/11/2007;BARC;EKST
12/11/2007;ANZB;ABNA
12/11/2007;BBIJ;PDKB
14/12/2007;CITI;DEUT
25/10/2007;BDIN;MEGA
30/10/2007;AEIB;CENA
24/10/2007;ATJS;MEGA
24/10/2007;BUMI;IBBK
15/11/2007;BBUK;HSBC
20/11/2007;BBIJ;SCBL
15/11/2007;ARNK;ANTD
14/12/2007;BNIA;DBSB
03/12/2007;BNIN;SCBL
17/12/2007;CENA;BNIN
15/11/2007;ATJS;BUMI
13/11/2007;CITI;TAPE
17/10/2007;ABAL;BDIN
19/11/2007;BNIN;ABAL
10/10/2007;RABO;BMRI
24/12/2007;BIDX;CICT
10/12/2007;LIPB;NISP
11/12/2007;BMRI;MEGA
17/10/2007;BNIA;PDWR
24/12/2007;BBBA;LIPB
09/11/2007;PDJT;CENA
12/11/2007;MUAB;BUTG
12/12/2007;SYRI;MUAB
29/11/2007;BOTK;SCBL
04/10/2007;CENA;HMOB
21/11/2007;PDKB;BNIN
08/11/2007;CICT;CENA
29/11/2007;BMRI;CHAS
24/10/2007;ABAL;SIHB
05/11/2007;IDMO;IBBK
28/12/2007;CICT;MEGA
26/11/2007;BOTK;PINB
16/11/2007;BBUK;BBBA
21/11/2007;DEUT;SYBK
10/10/2007;BMRI;PDJB
21/11/2007;KOEX;SCBL
13/11/2007;BDKI;LIPB
12/11/2007;MAYA;DJAR
05/10/2007;BNIA;EKON
23/11/2007;MAYA;CENA
26/12/2007;AWAN;SWBA
13/11/2007;BBUK;BDIN
12/12/2007;BMRI;PDBK
24/12/2007;BRIN;ANZB
09/11/2007;IBBK;ANTD
14/12/2007;BMRI;PDJB
01/11/2007;LIPB;CITI
22/10/2007;MEGA;YUDB
12/11/2007;BKKB;CENA
10/12/2007;AGSS;BBBA
10/12/2007;ATJS;BUTG
28/11/2007;LIPB;BNIA
24/10/2007;PDYK;BRIN
10/12/2007;HAIN;HSBC
22/11/2007;EKST;CICT
12/12/2007;MUAB;ATJS
15/11/2007;BNIN;ARNK
30/11/2007;ABAL;BRIN
29/11/2007;PDSU;BDIN
22/10/2007;MEEK;BNIA
04/12/2007;CHAS;HSBC
26/11/2007;CTCB;BMRI
17/12/2007;BDIN;BSSP
11/10/2007;EKST;HRDA
04/12/2007;BSSP;PDJT
01/10/2007;BRIN;PINB
10/10/2007;PDNB;PDJB
20/11/2007;CHAS;CENA
09/10/2007;BDIN;BDIP
07/12/2007;BDIN;BICN
07/11/2007;PDSU;PDRI
11/12/2007;BRIN;ABAL
22/11/2007;CITI;BTAN
18/12/2007;BMRI;ABAL
18/10/2007;KSEI;HSBC
17/12/2007;BNIN;ATOS
27/11/2007;MASD;EKON
04/12/2007;CENA;ABAL
30/11/2007;BDKI;BDIN
12/12/2007;PDBK;IBBK
10/12/2007;BBIJ;HSBC
07/12/2007;BMRI;ANTD
11/12/2007;NISP;BDIN
06/12/2007;MEGA;PDJG
03/10/2007;RABO;BICN
10/10/2007;BRIN;MAYA
22/10/2007;AWAN;MEGA
27/11/2007;BBBA;CENA
27/11/2007;BMRI;BDIN
05/12/2007;BUMI;BBBA
11/10/2007;RABO;NISP
27/12/2007;NUPA;CNBA
23/10/2007;SCBL;MUAB
18/12/2007;OCBC;BRIN
03/10/2007;BDIN;PDAC
01/10/2007;BRIN;PDYK
10/10/2007;DEUT;BPIA
01/10/2007;BRIN;EKON
20/11/2007;PDSU;BMRI
10/10/2007;LOMA;ANZB
12/12/2007;BPIA;OCBC
02/10/2007;DEUT;BPIA
13/12/2007;VICT;BMRI
23/11/2007;HAGA;CICT
19/12/2007;BBBA;BMRI
21/11/2007;CENA;ANZB
01/10/2007;PDJG;PINB
31/10/2007;AWAN;DBSB
19/11/2007;MEGA;CENA
02/11/2007;CHAS;FUJI
18/12/2007;BBAI;BRIN
06/12/2007;BRIN;PINB
01/11/2007;BRIN;PDBK
18/12/2007;BMRI;GNES
26/10/2007;PDLP;ATJS
19/12/2007;BBBA;EKON
27/11/2007;BMRI;BUMI
08/11/2007;BTAN;BDIN
02/10/2007;TAPE;BSSP
09/10/2007;PDKB;IBBK
26/11/2007;PDKG;CENA
01/10/2007;LOMA;BNIN
19/12/2007;BBBA;PDYK
02/10/2007;BNIN;DJAR
18/12/2007;ARNK;HSBC
19/10/2007;NISP;CITI
26/10/2007;BMRI;PDKT
29/11/2007;ANZB;MAYA
07/12/2007;FAMA;SITB
29/10/2007;WIKE;CICT
12/12/2007;PDIJ;BDKI
13/12/2007;BMRI;HRDA
06/11/2007;MASD;BBAI
06/12/2007;NISP;DBSB
05/11/2007;BRIN;LOMA
14/12/2007;BBBA;BMRI
05/11/2007;BNIN;PINB
24/10/2007;BMRI;PDBK
04/10/2007;BRIN;HAGA
29/11/2007;BRIN;DBSB
01/11/2007;IDMO;CENA
30/11/2007;PDYK;BDIN
04/10/2007;ANTD;BICN
26/10/2007;PDSU;BDIN
27/12/2007;LIPB;CICT
09/10/2007;IBBK;LIPB
20/11/2007;ABNA;CITI
07/12/2007;SITB;BMRI
14/11/2007;HSBC;BRIN
05/10/2007;HAGA;BDIN
31/10/2007;HSBC;CHAS
29/10/2007;BRIN;BBIJ
06/12/2007;BUST;HRDA
22/10/2007;BICN;MEGA
26/10/2007;PDWR;BRIN
06/12/2007;CITI;SITB
28/12/2007;MCOR;BNIN
30/11/2007;SCBL;EKON
03/12/2007;BMRI;SYDK
22/10/2007;BICN;BMRI
29/10/2007;BNIN;PDBK
29/10/2007;TAPE;BDIN
14/11/2007;BDIN;BRIN
